period,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
1986-01-01,2.4,-4.5,0.3,29139.09,1.2,1.2,0.0,20.4
1986-01-02,6.3,-4.8,-0.0,28946.83,0.0,0.0,0.0,13.8
1986-01-03,8.3,0.6,4.4,10906.02,16.2,16.2,0.0,19.5
1986-01-04,2.2,-3.1,-0.4,29167.58,0.0,0.0,0.0,22.6
1986-01-05,5.9,-2.0,2.9,24948.76,6.2,6.2,0.0,22.3
1986-01-06,2.4,-4.8,-1.2,29041.41,0.0,0.0,0.0,30.4
1986-01-07,-4.1,-8.6,-6.0,27824.93,0.0,0.0,0.0,20.5
1986-01-08,-4.0,-12.2,-8.4,29811.87,0.0,0.0,0.0,21.1
1986-01-09,2.4,-7.8,-3.3,29797.5,0.0,0.0,0.0,21.4
1986-01-10,6.6,-1.7,1.1,28287.29,0.0,0.0,0.0,20.3
1986-01-11,1.9,-4.2,-1.9,30054.5,0.0,0.0,0.0,13.8
1986-01-12,7.7,-3.7,1.4,30228.33,0.0,0.0,0.0,21.5
1986-01-13,5.3,-4.9,0.4,29791.27,0.0,0.0,0.0,25.0
1986-01-14,-6.1,-11.5,-8.5,27614.24,0.0,0.0,0.0,25.7
1986-01-15,-5.9,-15.0,-10.2,30586.26,0.0,0.0,0.0,19.1
1986-01-16,1.8,-7.5,-3.7,30407.88,0.0,0.0,0.0,8.7
1986-01-17,8.1,-4.4,0.7,21600.0,0.0,0.0,0.0,12.7
1986-01-18,13.1,1.3,5.4,30380.1,0.0,0.0,0.0,12.1
1986-01-19,10.6,3.3,7.1,1715.3,13.7,13.7,0.0,14.3
1986-01-20,8.5,3.3,6.0,253.01,7.5,7.5,0.0,19.4
1986-01-21,8.7,-0.2,3.3,31038.38,0.0,0.0,0.0,20.2
1986-01-22,11.4,-2.5,4.3,31209.32,0.0,0.0,0.0,21.3
1986-01-23,5.2,-3.2,0.5,28994.95,0.0,0.0,0.0,19.2
1986-01-24,0.2,-5.1,-3.1,31835.21,0.0,0.0,0.0,15.4
1986-01-25,6.8,-4.1,1.0,0.0,5.6,5.6,0.0,24.5
1986-01-26,9.6,2.3,6.0,0.0,29.7,29.7,0.0,21.0
1986-01-27,5.0,-2.2,1.7,31081.81,9.0,7.8,0.91,19.3
1986-01-28,-3.9,-12.7,-9.1,31753.45,1.2,0.0,0.91,28.6
1986-01-29,-4.8,-12.2,-8.3,22445.07,1.3,0.0,1.19,15.7
1986-01-30,-1.5,-7.3,-5.1,31392.1,0.8,0.0,0.63,17.6
1986-01-31,0.5,-8.8,-4.8,32808.21,0.0,0.0,0.0,17.7
1986-02-01,1.6,-6.7,-2.7,26673.26,0.0,0.0,0.0,17.9
1986-02-02,10.3,-0.3,4.6,28682.75,8.9,8.8,0.07,18.0
1986-02-03,5.1,-3.7,0.3,33232.22,0.0,0.0,0.0,12.6
1986-02-04,2.0,-2.2,0.2,0.0,11.3,5.7,3.99,15.8
1986-02-05,8.7,0.6,3.8,1553.83,3.8,3.8,0.0,11.9
1986-02-06,2.8,-3.7,0.2,32212.3,0.0,0.0,0.0,18.0
1986-02-07,-3.8,-7.3,-5.6,806.17,10.3,0.0,7.21,19.9
1986-02-08,-0.2,-7.5,-4.1,19286.52,0.6,0.0,0.42,10.5
1986-02-09,1.4,-11.3,-4.5,21300.34,0.0,0.0,0.0,10.9
1986-02-10,2.2,-7.3,-2.5,25319.12,0.0,0.0,0.0,10.4
1986-02-11,-1.4,-5.2,-3.6,6.05,8.6,0.0,6.16,19.7
1986-02-12,-3.8,-14.0,-8.4,34611.2,0.0,0.0,0.0,14.9
1986-02-13,-3.9,-16.5,-10.4,34748.93,0.0,0.0,0.0,21.3
1986-02-14,-3.4,-14.9,-8.7,12819.57,1.8,0.0,1.4,13.2
1986-02-15,-1.2,-7.5,-4.3,27775.57,1.7,0.0,1.26,16.9
1986-02-16,-2.3,-12.6,-6.9,20723.94,0.6,0.0,0.56,12.1
1986-02-17,6.4,-3.2,1.5,3545.32,4.9,2.7,1.54,12.5
1986-02-18,3.3,0.6,1.6,0.0,12.2,12.2,0.0,14.3
1986-02-19,3.5,0.7,1.8,11008.84,3.7,3.7,0.0,10.4
1986-02-20,3.0,-0.0,1.5,7200.0,5.0,3.4,1.12,15.0
1986-02-21,9.5,1.9,4.3,404.25,10.3,10.3,0.0,18.2
1986-02-22,5.7,-3.4,1.3,29729.35,0.0,0.0,0.0,21.9
